,id,tweet,label,new_label,clean_text
0,1,Our daily update is published. States reported 734k tests 39k new cases and 532 deaths. Current hospitalizations fell below 30k for the first time since June 22. https://t.co/wzSYMe0Sht,real,0,our daily update is published states reported 734k tests 39k new cases and 532 deaths current hospitalizations fell below 30k for the first time since june 22
1,2,Alfalfa is the only cure for COVID-19.,fake,1,alfalfa is the only cure for covid19
2,3,President Trump Asked What He Would Do If He Were To Catch The Coronavirus https://t.co/3MEWhusRZI #donaldtrump #coronavirus,fake,1,president trump asked what he would do if he were to catch the coronavirus donaldtrump coronavirus
3,4,States reported 630 deaths. We are still seeing a solid national decline. Death reporting lags approximately 28 days from symptom onset according to CDC models that consider lags in symptoms time in hospital and the death reporting process. https://t.co/LBmcot3h9a,real,0,states reported 630 deaths we are still seeing a solid national decline death reporting lags approximately 28 days from symptom onset according to cdc models that consider lags in symptoms time in hospital and the death reporting process
4,5,This is the sixth time a global health emergency has been declared under the International Health Regulations but it is easily the most severe-@DrTedros https://t.co/JvKC0PTett,real,0,this is the sixth time a global health emergency has been declared under the international health regulations but it is easily the most severedrtedros
5,6,Low #vitaminD was an independent predictor of worse prognosis in patients with COVID-19. https://t.co/CGD6Kphn31 https://t.co/chtni8K4Jd,real,0,low vitamind was an independent predictor of worse prognosis in patients with covid19
6,7,A common question: why are the cumulative outcome numbers smaller than the current outcome numbers? A: Most states report current but a few states report cumulative. They are apples and oranges and we don't feel comfortable filling in state cumulative boxes with current #s.,real,0,a common question why are the cumulative outcome numbers smaller than the current outcome numbers a most states report current but a few states report cumulative they are apples and oranges and we dont feel comfortable filling in state cumulative boxes with current s
7,8,The government should consider bringing in any new national lockdown rules over Christmas rather than now says an Oxford University professor https://t.co/pdOls6cqoN,real,0,the government should consider bringing in any new national lockdown rules over christmas rather than now says an oxford university professor
8,9,Our daily update is published. We’ve now tracked more than 2.9 million tests up 119k from yesterday. That's the smallest reported increase since April 1. Note that we can only track tests that a state reports. And not all states report all tests. See: https://t.co/PZrmH4bl5Y https://t.co/2588xW5yNm,real,0,our daily update is published weve now tracked more than 29 million tests up 119k from yesterday thats the smallest reported increase since april 1 note that we can only track tests that a state reports and not all states report all tests see
9,10,Breakdown of testing: 4 air crew 97 hotel &amp; health staff in the facility 71 former hotel guests &amp; 2 exempted individuals who returned negative tests. And there are over 200 current guests in the Novotel who were swabbed on Tuesday &amp; Wednesday. Their results were negative.⁣,real,0,breakdown of testing 4 air crew 97 hotel amp health staff in the facility 71 former hotel guests amp 2 exempted individuals who returned negative tests and there are over 200 current guests in the novotel who were swabbed on tuesday amp wednesday their results were negative
10,11,"Two interesting correlations:

1) Children tend to weather COVID-19 pretty well; they also get a ton of Vitamin D.

2) Black people are getting slammed by COVID-19; black people also have much higher instances of Vitamin D deficiency (76% vs 40% in the general population).",fake,1,two interesting correlations 1 children tend to weather covid19 pretty well they also get a ton of vitamin d 2 black people are getting slammed by covid19 black people also have much higher instances of vitamin d deficiency 76 vs 40 in the general population
11,12,A photo shows a 19-year-old vaccine for canine coronavirus that could be used to prevent the new coronavirus causing COVID-19.,fake,1,a photo shows a 19yearold vaccine for canine coronavirus that could be used to prevent the new coronavirus causing covid19
12,13,🇰🇼 Assistant Undersecretary for Public Health Affairs Dr Buthayna Almodaf highlighted the importance of risk communication &amp; public education in fighting #COVID19. The country increased testing capacity enabling 400000 people to be tested.,real,0,assistant undersecretary for public health affairs dr buthayna almodaf highlighted the importance of risk communication amp public education in fighting covid19 the country increased testing capacity enabling 400000 people to be tested
13,14,An audio file by an alleged worker at a health institution in Rio de Janeiro. She says that healthcare workers on public institutions in Rio are forced to state whether a patient has COVID-19 or not even before he sees a doctor. This was allegedly being done to artificially inflate the number of cases.,fake,1,an audio file by an alleged worker at a health institution in rio de janeiro she says that healthcare workers on public institutions in rio are forced to state whether a patient has covid19 or not even before he sees a doctor this was allegedly being done to artificially inflate the number of cases
14,15,"Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.",fake,1,says the coronavirus aid relief and economic security act gives members of congress a pay increase
15,16,Kids reach ‘f**k this shit’ stage of lockdown https://t.co/swClEhi2Iq,fake,1,kids reach fk this shit stage of lockdown
16,17,"Households should have ""required"" medical kits with certain items and equipment to treat the different stages of COVID-19.",fake,1,households should have required medical kits with certain items and equipment to treat the different stages of covid19
17,18,An image of a man carrying his old mother on his back shows migrants travelling to their homes in India amidst lockdown.,fake,1,an image of a man carrying his old mother on his back shows migrants travelling to their homes in india amidst lockdown
18,19,While #socialdistancing for #COVID19 take the time to check in on friends and family to see how they are doing. Set up a daily phone or video call to touch base and share the best and most challenging parts of the day. #TogetherApart https://t.co/KyBmehvGcY https://t.co/rN1RmYS9i0,real,0,while socialdistancing for covid19 take the time to check in on friends and family to see how they are doing set up a daily phone or video call to touch base and share the best and most challenging parts of the day togetherapart
19,20,"3/10 About 8% of population ""may be infected and have antibodies"". The ""vast majority"" of people are still vulnerable to the disease says Sir Patrick Vallance. https://t.co/SWcqc3XLyJ https://t.co/drmAv7kmBA",real,0,310 about 8 of population may be infected and have antibodies the vast majority of people are still vulnerable to the disease says sir patrick vallance
20,21,"Korona virus, very new deadly form of virus, china is suffering, may come to 
India immediately, avoid any form of cold drinks, ice creams, koolfee, 
etc, any type of preserved foods, milkshake, rough ice, ice colas, 
milk sweets older then 48 hours, for atleast 90 days from today.",fake,1,korona virus very new deadly form of virus china is suffering may come to india immediately avoid any form of cold drinks ice creams koolfee etc any type of preserved foods milkshake rough ice ice colas milk sweets older then 48 hours for atleast 90 days from today
21,22,A 2009 tweet from Donald Trump said that he would never let thousands of Americans die from a pandemic while in office.,fake,1,a 2009 tweet from donald trump said that he would never let thousands of americans die from a pandemic while in office
22,23,ICUs are full forcing #COVID patients to wait “hours and hoursto admit to the emergency room. https://t.co/go6Sx5yuRx,real,0,icus are full forcing covid patients to wait hours and hoursto admit to the emergency room
23,24,"President Donald Trump tweeted, ""Coronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can't make vaccines when being bombed, not have been possible without peace I created in Israel!""",fake,1,president donald trump tweeted coronavirus vaccine from israel stock market up economy even stronger now besides us israel best at inventions judaism olives wonderful vaccine will stop corona dead around world cant make vaccines when being bombed not have been possible without peace i created in israel
